タイムスタンプ,画像,店舗名,メニュー名,ジャンル,麺,スープ,住所,Google Map URL
2025/05/23 23:35:33,https://drive.google.com/open?id=1ZOVEN2Uuvzk45SVjLUxs5TlmY3XPXDKg,奥多摩清流中華そば三つ杉,梅つけ麺,つけ麺,中太麺,醤油,東京都西多摩郡奥多摩町氷川１９５ スーパー小川屋,https://maps.app.goo.gl/7j4Mw6cpE44dimct8
2025/05/23 23:36:08,https://drive.google.com/open?id=1yGFmEvKy4aLCQIujOc6A04hXfD1COFzB,北海道らーめんひむろ 錦糸町店,冷やし胡麻ダレつけ麺,つけ麺,中太麺,その他,東京都墨田区錦糸３丁目４−９,https://maps.app.goo.gl/cWL8nTg2y28AVdLg9
2025/05/23 23:36:25,https://drive.google.com/open?id=1wtbX8_3VtvYLvwZzEAPgZWTuKvph3a5q,黄金トマトのカル麺,黄金チーズトマト麺with味玉,ラーメン,中太麺,その他,静岡県裾野市深良４９２−１,https://maps.app.goo.gl/9wVrSRoVPzK5SShGA
2025/05/23 23:36:47,https://drive.google.com/open?id=1JfnWSLWkemHA_4dWM1F_7qcJv5dso06x,ひるがお,味玉塩つけ麺,つけ麺,ちぢれ麺,塩,東京都千代田区丸の内１丁目９−１ 東京駅一番街 地下一階 ラーメンストリート,https://maps.app.goo.gl/qDHRezswikSFVUWf7
2025/05/23 23:37:11,https://drive.google.com/open?id=1TmorivzyD5Fcs0a5UTaMEkauw-Z17pW0,ら〜麺 瑞藤,醤油,ラーメン,中太麺,醤油,千葉県松戸市上本郷３３８６,https://maps.app.goo.gl/SJMzxG5TnWerVS3K7
2025/05/23 23:56:33,https://drive.google.com/open?id=154FT7GLEPwmiFShFG85wBI2JHKRCWOxP,祖師谷七丁目食堂,中華そば,ラーメン,中太麺,醤油,東京都世田谷区祖師谷１丁目９−１４,https://maps.app.goo.gl/CXkL9oHh4TZja1Yr8
2025/05/24 0:06:52,https://drive.google.com/open?id=10nTStfOJtU9BQdMhGOrzV03ZnNHjU3dn,元祖 長浜屋,ラーメン,ラーメン,細麺,豚骨,東京都世田谷区上北沢４丁目３０−８,https://maps.app.goo.gl/LJfhdWgdz6twqKDp7
2025/05/24 0:07:41,https://drive.google.com/open?id=1CrqP3jhYFUAQ7m45nzjD07EoWWE6UzLT,町田商店 山際店,塩豚骨ラーメン,ラーメン,中太麺,豚骨,神奈川県厚木市山際５７１−１,https://maps.app.goo.gl/yrwMARo1qFLD6uJj6
2025/05/24 0:08:17,https://drive.google.com/open?id=15gnn0PVzBGdXkUH8HPA4skOy3jdjPpiC,ラーメン菊の屋,チャーシューメン,ラーメン,細麺,豚骨,大分県大分市津守４２−２,https://maps.app.goo.gl/fRoYDVR2zPkjeKxQ7
2025/05/24 0:08:56,https://drive.google.com/open?id=1-M4v1Fap_kySg1z1ktWH0dR7kx0kFtxy,らーめん 一心不乱,黒のコクとんこつラーメン,ラーメン,細麺,豚骨,佐賀県鳥栖市弥生が丘５丁目１６,https://maps.app.goo.gl/xn2HzC5a8ZBekJY48
2025/05/24 0:09:15,https://drive.google.com/open?id=1mYWuwH80xjfPwa_hV19RI77nDisjrOVY,町田商店 山際店,味噌ラーメン,ラーメン,中太麺,味噌,神奈川県厚木市山際５７１−１,https://maps.app.goo.gl/yrwMARo1qFLD6uJj6
2025/05/24 0:09:38,https://drive.google.com/open?id=1HRSNA0VZfMcbOA_JIgoOuB0LmXueXxeB,宝来軒 本店,満腹焼豚ラーメン,ラーメン,中太麺,豚骨,大分県中津市日ノ出町２丁目,https://maps.app.goo.gl/MNcdRUSBJAd6e8nN9
2025/05/24 1:12:59,https://drive.google.com/open?id=1CIsAbLOQxGGwmzcqqntv7pQ_TW4PIgS_,バーミヤン,小籠包入り！春の彩り麻辣湯,ラーメン,中太麺,辛い系,,
2025/05/24 1:19:06,https://drive.google.com/open?id=1NBt-JxgTV6dmMF3vcHuDvGzySJFLeXE_,酔亭,納豆味噌ラーメン,ラーメン,中太麺,味噌,神奈川県横浜市中区麦田町４丁目９９ 落合ビル １階,https://maps.app.goo.gl/ZecoS8qcV1Htcs5fA
2025/05/25 13:25:09,https://drive.google.com/open?id=1mHMpjdA3xD8Y272HaRluyFLiOyZdmdDJ,味仙 ニュー新橋ビル店,台湾ラーメン イタリアン,ラーメン,細麺,辛い系,東京都港区新橋２丁目１６−１ ニュー新橋ビル １Ｆ,https://maps.app.goo.gl/gtTxb757GyvLBGXb7
2025/05/25 13:28:48,https://drive.google.com/open?id=1t9rkmbqN2PI8DfKU3GrtayQgIkcXDNnw,博多一瑞亭 三田店,豚骨ラーメン,ラーメン,細麺,豚骨,東京都港区芝５丁目１４−１ マック三田コート 102,https://maps.app.goo.gl/Bwmysk92xN3TEehcA
2025/05/25 21:06:30,https://drive.google.com/open?id=1YL4U9rf3SdoET_2xvmJ2W5ijmFJn9_fr,餃子の王将,餃子の王将ラーメン,ラーメン,中太麺,醤油,,
2025/05/25 21:08:13,https://drive.google.com/open?id=1BrPKZSTejuAJcQ7TcvJPUcsMfiedH6-6,一刀家,味玉ラーメン,ラーメン,中太麺,家系,東京都港区赤坂３丁目１４−２ ドルミ赤坂 1F,https://maps.app.goo.gl/Ho16jW4Ee86sFEJh9
2025/05/25 21:09:36,https://drive.google.com/open?id=1VtQqrvnAU3U0qgYjjsymrmc6ECoCRGxD,麺処 にぼし香 水天宮前店,濃厚煮干蕎麦,ラーメン,太麺,魚介,東京都中央区日本橋蛎殻町２丁目２−２ 山口ビル 1F,https://maps.app.goo.gl/mjGmmq7rgE7tPTqR9
2025/05/25 21:13:25,https://drive.google.com/open?id=1IXZyb4KuFOtGqqUQ21k9ym1QJf2lbEBl,京都銀閣寺ますたにラーメン,ますたにスペシャル,ラーメン,細麺,醤油,東京都中央区日本橋2-10-3 エグゼトゥール日本橋 1F,https://maps.app.goo.gl/RdaZ9oXnBgCeaRFa9
2025/05/25 21:14:54,https://drive.google.com/open?id=1owmZRIYK4BrQGDvMsS4d3EOxMEMusRnq,麺屋 音,味玉煮干しラーメン,ラーメン,中太麺,魚介,東京都中央区日本橋人形町２丁目６−１２ 渡辺ビル 1F,https://maps.app.goo.gl/mrrQzgTZuGHekbCz7
